stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
327,,Köln Nievenheimer Str.,,50.962734,6.940283,,,0,,
328,,Köln Ludwigsburger Str.,,50.965675,6.940143,,,0,,
329,,Köln Frankenthaler Str.,,50.968970,6.936195,,,0,,
330,,Köln Ebernburgweg,,50.969065,6.932139,,,0,,
331,,Köln Alzeyer Str.,,50.970150,6.926822,,,0,,
332,,Köln Am Bilderstöckchen,,50.973209,6.925346,,,0,,
334,,Köln Robert-Perthel-Str.,,50.980463,6.918584,,,0,,
335,,Köln Gewerbegebiet Bilderstöckchen,,50.983434,6.913402,,,0,,
336,,Köln Mollwitzstr.,,50.978261,6.948798,,,0,,
337,,Köln Scheibenstr.,,50.985698,6.946273,,,0,,
338,,Köln Nordfriedhof,,50.975912,6.945917,,,0,,
339,,Köln Nibelungenplatz,,50.974942,6.939077,,,0,,
340,,Köln Schmiedegasse,,50.977108,6.935761,,,0,,
341,,Köln Etzelstr.,,50.978300,6.931741,,,0,,
342,,Köln Niehl,,50.994781,6.955674,,,0,,
343,,Köln Niehl Sebastianstr.,,50.985224,6.961402,,,0,,
344,,Niederkassel Ranzel Kirche,,50.833154,7.035706,,,0,,
345,,Köln Friedrich-Karl-Str.,,50.974648,6.959816,,,0,,
346,,Köln Drosselweg,,50.977031,6.960734,,,0,,
347,,Köln Weidenpescher Str.,,50.979688,6.963452,,,0,,
348,,Köln Graditzer Str.,,50.982407,6.960703,,,0,,
349,,Köln Merkenicher Str.,,50.989647,6.961379,,,0,,
350,,Köln Halfengasse,,50.992347,6.958771,,,0,,
351,,Köln Niehler Damm,,50.994360,6.960978,,,0,,
352,,Köln Niehl Betriebshof Nord,,50.974889,6.973006,,,0,,
354,,Köln St.-Joseph-Kirche,,50.886362,7.002864,,,0,,
355,,Köln Meerfeldstr.,,50.995053,6.920781,,,0,,
356,,Köln Longericher Str.,,50.996072,6.914590,,,0,,
357,,Köln Longerich Friedhof,,50.995550,6.911289,,,0,,
358,,Köln Longerich S-Bahn,,50.998161,6.901412,,,0,,
359,,Köln Lindweilerweg,,50.995311,6.901541,,,0,,
360,,Köln Dionysstr.,,50.997096,6.906605,,,0,,
361,,Köln Dädalusring,,50.990574,6.906121,,,0,,
362,,Köln Wilhelm-Sollmann-Str.,,50.992005,6.941103,,,0,,
363,,Köln Altonaer Platz,,50.993856,6.933363,,,0,,
364,,Köln Herforder Str.,,50.994606,6.926142,,,0,,
365,,Köln Bremerhavener Str.,,50.997361,6.936895,,,0,,
366,,Köln Esso,,51.007271,6.929557,,,0,,
367,,Köln Geestemünder Str.,,51.001877,6.955307,,,0,,
368,,Köln Fordwerke Süd,,51.005840,6.955402,,,0,,
369,,Köln Fordwerke Mitte,,51.011872,6.955427,,,0,,
370,,Köln Fordwerke Nord,,51.017364,6.955426,,,0,,
371,,Bonn Bad Godesberg Stadthalle,,50.680336,7.158347,,,0,,
372,,Köln Heinering,,50.996152,6.872442,,,0,,
373,,Köln Pesch Schulstr.,,50.999005,6.869589,,,0,,
374,,Köln Auweiler,,51.002634,6.852960,,,0,,
375,,Köln Hermann-Löns-Str.,,51.005129,6.853433,,,0,,
376,,Köln Chorbuschstr.,,51.012738,6.857762,,,0,,
377,,Köln Esch,,51.013820,6.854833,,,0,,
378,,Köln Johannes-Prassel-Str.,,51.014515,6.847093,,,0,,
379,,Köln Sinnersdorfer Mühle,,51.017758,6.834939,,,0,,
380,,Köln Pescher Weg,,50.999728,6.882239,,,0,,
381,,Köln Otto-Müller-Str.,,51.000419,6.878847,,,0,,
382,,Köln Gewerbegebiet Pesch,,51.004358,6.872638,,,0,,
383,,Köln Donatusstr.,,51.006587,6.871455,,,0,,
384,,Köln Heimersdorf,,51.012070,6.906868,,,0,,
385,,Köln Chorweiler,,51.021119,6.897980,,,0,,
386,,Köln Karl-Marx-Allee,,51.024298,6.904242,,,0,,
387,,Köln Am Hetzepetsch,,51.014238,6.912511,,,0,,
388,,Köln Herstattallee,,51.016990,6.903031,,,0,,
389,,Köln Zypressenstr.,,51.012586,6.899426,,,0,,
390,,Köln Stallagsweg,,51.010465,6.895951,,,0,,
391,,Köln Pulheimer Str.,,51.005587,6.899034,,,0,,
392,,Köln Marienberger Weg,,50.999999,6.892786,,,0,,
393,,Köln Lindweilerfeld,,51.003079,6.889611,,,0,,
394,,Köln Unnauer Weg,,51.006518,6.890147,,,0,,
395,,Köln Seeberg,,51.018841,6.918145,,,0,,
396,,Köln Merianstr.,,51.027290,6.910173,,,0,,
397,,Köln Fühlinger Weg,,51.020494,6.888049,,,0,,
398,,Köln Friedhof Chorweiler,,51.018138,6.881021,,,0,,
399,,Köln Blockstr.,,51.021934,6.875862,,,0,,
400,,Köln Wezelostr.,,51.021437,6.884661,,,0,,
401,,Köln Weiler,,51.023350,6.882459,,,0,,
402,,Köln Volkhovener Weg,,51.014431,6.893320,,,0,,
403,,Köln Weichselring,,51.025680,6.896330,,,0,,
404,,Köln Haus Fühlingen,,51.031238,6.906544,,,0,,
405,,Köln Fühlingen,,51.036343,6.903165,,,0,,
406,,Köln Mennweg,,51.043209,6.898607,,,0,,
407,,Köln Langel Fähre,,51.052758,6.914523,,,0,,
408,,Köln Langel Nord,,51.051072,6.916358,,,0,,
409,,Köln Langel Mohlenweg,,51.048633,6.920089,,,0,,
410,,Köln Langel Kuhlenweg,,51.046313,6.924778,,,0,,
411,,Köln Rheinkassel,,51.039444,6.932910,,,0,,
412,,Köln Oranjehofstr.,,51.025430,6.939556,,,0,,
413,,Köln Rheinlandstr.,,51.026769,6.928351,,,0,,
414,,Köln Edsel-Ford-Str.,,51.030337,6.922849,,,0,,
415,,Köln Robert-Bosch-Str.,,51.031633,6.920365,,,0,,
416,,Köln Merkenich Mitte,,51.024450,6.952991,,,0,,
417,,Köln Merkenich,,51.028276,6.947881,,,0,,
418,,Köln Schlettstadter Str.,,51.030563,6.951805,,,0,,
419,,Köln Kasselberg,,51.036650,6.939355,,,0,,
420,,Köln Worringen S-Bahn,,51.052233,6.852075,,,0,,
421,,Köln Walter-Dodde-Weg,,51.048895,6.851272,,,0,,
422,,Köln Baptiststr.,,51.047146,6.849486,,,0,,
423,,Köln Further Str.,,51.043449,6.847293,,,0,,
424,,Köln Alte Römerstr.,,51.056225,6.883313,,,0,,
425,,Köln Worringen Süd,,51.060806,6.873058,,,0,,
426,,Köln Sankt-Tönnis-Str.,,51.065015,6.867888,,,0,,
427,,Köln Hackhauser Weg,,51.061443,6.856281,,,0,,
428,,Köln Wiedenfelder Weg,,51.064511,6.853427,,,0,,
429,,Köln Bitterstr.,,51.069084,6.857449,,,0,,
430,,Köln Dornstr.,,51.068212,6.857347,,,0,,
